Date,RL-Net (Defensive),RL-Net (Total Return)
2024-12-09,-0.10307005792856216,-0.009467089548707008
2024-12-10,-0.10307005792856216,-0.009467089548707008
2024-12-11,-0.10308045148849487,-0.010460231453180313
2024-12-12,-0.10308045148849487,-0.010460231453180313
2024-12-13,-0.10308045148849487,-0.010460231453180313
2024-12-14,-0.10308045148849487,-0.010460231453180313
2024-12-15,-0.10308045148849487,-0.010460231453180313
2024-12-16,-0.10308045148849487,-0.010460231453180313
2024-12-17,-0.10308045148849487,-0.010460231453180313
2024-12-18,-0.10332459956407547,-0.010222028940916061
2024-12-19,-0.10332459956407547,-0.010222028940916061
2024-12-20,-0.10332459956407547,-0.010222028940916061
2024-12-21,-0.10332459956407547,-0.010222028940916061
2024-12-22,-0.10332459956407547,-0.010222028940916061
2024-12-23,-0.10332459956407547,-0.010222028940916061
2024-12-24,-0.10332459956407547,-0.010222028940916061
2024-12-25,-0.10359985381364822,-0.01056603528559208
2024-12-26,-0.10359985381364822,-0.01056603528559208
2024-12-27,-0.10359985381364822,-0.01056603528559208
2024-12-28,-0.10359985381364822,-0.01056603528559208
2024-12-29,-0.10359985381364822,-0.01056603528559208
2024-12-30,-0.10359985381364822,-0.01056603528559208
2024-12-31,-0.10359985381364822,-0.01056603528559208
