,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Sharpe Incr),SAC-Net (Total Return)
2018-04-07,1.286889303032597,1.0771947898552545,1.4672285630391442,0.8550221148296149,1.4309711462659862,2.6467799723127214
2018-04-08,1.3212806688931136,1.0910941716753992,1.4868560553444665,0.8688197559111832,1.4497078583091905,2.6809322008683925
2018-04-09,1.2953675390110204,1.0729154078893521,1.4512590738708306,0.8369726353746572,1.4216703759150806,2.6362650689685982
2018-04-10,1.3162000519130996,1.0897693478609507,1.471191703788313,0.8448505691612382,1.442857670128007,2.6776769542963295
2018-04-11,1.382122273192179,1.1637500326067618,1.5341662950384318,0.8612008064477256,1.5337641825890136,2.8594552715585038
2018-04-12,1.5721803276449249,1.2804786837581863,1.704732748358708,0.9680990236695122,1.6913835222907923,3.146269670701618
2018-04-13,1.5801427489559445,1.2915410321634235,1.716441328250635,0.96892206080868,1.7045761079008401,3.173450974473543
2018-04-14,1.590499559938908,1.288518956427169,1.7219053978750452,0.9799375989195693,1.7033462054088728,3.1660254255998193
2018-04-15,1.6153861177508821,1.3258955110613138,1.768352725019926,1.0211308044101548,1.7525487899446368,3.2574980328731016
2018-04-16,1.5445557283586293,1.2666005820545327,1.691367706946302,0.9874251869478827,1.6754041257481551,3.114114408449838
2018-04-17,1.5353345378986791,1.247663300376525,1.655297422065857,0.968050661484981,1.6474208022481491,3.0621139641568504
2018-04-18,1.6031544822182182,1.3352368835215795,1.7410409493612264,0.9995470876959353,1.7525944071809032,3.2576205790784587
2018-04-19,1.6615673865191216,1.398091219667862,1.7902212956761205,1.0154463799375866,1.8253836330935356,3.392925267167366
2018-04-20,1.8093901242615869,1.49727018387817,1.8972803174278547,1.0808172482087255,1.9496770020782634,3.623971498239348
2018-04-21,1.8186755754084662,1.5218229800749776,1.938204898442864,1.0868788632173856,1.9824730035998146,3.684914747572941
2018-04-22,1.7994859214985803,1.49366900935075,1.9062354370335695,1.0754413005393788,1.9457969492824303,3.664573367808316
2018-04-23,1.857974424050317,1.5457084613266723,1.9777716712459188,1.0910176672402545,2.013588409160895,3.794267490664792
2018-04-24,2.1171485421458134,1.736785075975471,2.228724608190066,1.180866462507492,2.262503047587946,4.267992396413497
2018-04-25,1.8932545464659583,1.5465090017980314,1.9878195763275668,1.0723069209516018,2.014631013861559,3.766666471646621
2018-04-26,2.022993311162544,1.6649178115427044,2.1382420745846837,1.12387224149266,2.168881743377144,4.062491768745752
