,Equal Weight,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Excess NW),SAC-Net (Sharpe Incr)
2019-05-22,1.4357536849885488,1.3467163582373283,1.502903123715929,1.5151067585951252,1.7647057280239857,1.4669014287949607,1.4986348872005713
2019-05-23,1.4541048902219262,1.360557582832911,1.5199741884378681,1.5347015149699552,1.8104716643608159,1.483563576934494,1.5156574826922853
2019-05-24,1.5049579198310579,1.4090981830623488,1.583309287770338,1.591959268806761,1.8345500604667115,1.5453815112097284,1.5788126727420526
2019-05-25,1.5183386267048262,1.423989965982281,1.6112075802240429,1.617403724672647,1.8494581964545362,1.5726115019904723,1.6066317256429299
2019-05-26,1.6113134261613116,1.5085495680133199,1.6869621315828065,1.6881279566962186,1.986783382275119,1.6465514282090297,1.682171136714728
2019-05-27,1.691808632229036,1.5924643394851599,1.7306182291568857,1.734401751453162,2.016919901549083,1.689161767217164,1.7257032352114177
2019-05-28,1.686403150863505,1.584381200141225,1.7157927508414756,1.7205967625396665,1.9971676744043585,1.6860967779801797,1.7090542985933468
2019-05-29,1.6821555475879868,1.5708487010132248,1.7143194349969553,1.7190538292575583,1.9832686812992275,1.6815902177090973,1.7062623685441107
2019-05-30,1.5871651845978758,1.4805420886216012,1.6375077907535884,1.638954777495585,1.9038255859070023,1.5838976236460531,1.6263527851160444
2019-05-31,1.6667033920185947,1.5657317183290795,1.6832501666727897,1.6919163152517087,1.9613097716769783,1.6992134820152462,1.6758397236409261
2019-06-01,1.660673470658896,1.575458173842564,1.690061757464743,1.6956878545193386,1.9589099113880966,1.639853737873691,1.6882176110851135
2019-06-02,1.6930476984407459,1.5975314311181272,1.7141832858658002,1.71819685910275,1.9994187344005256,1.651771640429744,1.7131652762374805
2019-06-03,1.5638166081069877,1.4574021634007854,1.6070874966879343,1.6049602630712958,1.8734192472624611,1.5041248750818392,1.602093612363204
2019-06-04,1.4830678442838507,1.3715578591268183,1.5094207752495974,1.508158445953583,1.7553910651292561,1.4127153432362642,1.5047304331477156
2019-06-05,1.507397860793669,1.4049498311962474,1.5578046580653786,1.5560346001034704,1.7817157407897057,1.4579997610458901,1.5529637866093375
2019-06-06,1.524798740792212,1.4279674576391903,1.5701975283270317,1.57786745299586,1.7812128674400258,1.4695988177508506,1.5653181014075161
2019-06-07,1.5602523601488443,1.4442899599785306,1.5917723960137238,1.6028781433185983,1.8310460897456664,1.489791227814285,1.5868260032963806
2019-06-08,1.5362123791226858,1.4288533473235063,1.5873999351516948,1.6011047145226474,1.8104845931282239,1.485699253286491,1.5824669774385935
2019-06-09,1.4633688219539078,1.3590623040022434,1.5183587990696554,1.531473170560409,1.748891321009282,1.4210812928887218,1.5136404171387352
2019-06-10,1.5369594089876926,1.4198310738047757,1.589997126641122,1.6105176535074308,1.8185182400429694,1.4881299430365789,1.585056119374062
2019-06-11,1.5327548097942778,1.4150927354637144,1.5862706007999992,1.6081136462503696,1.8019370397975458,1.4846422395420822,1.581341268055327
2019-06-12,1.5859995566761413,1.4902280803053853,1.6510638831353808,1.683301143103199,1.8508501516816132,1.5452845029833324,1.6459333524294344
2019-06-13,1.5806795336450554,1.4927901596111035,1.6757712563826306,1.7015943158609823,1.870078177573026,1.5684089189462682,1.670563922814398
2019-06-14,1.5972103744996446,1.5050058660195171,1.684202896668085,1.6999305690950122,1.9724007485689363,1.576300000163119,1.6789689122067484
2019-06-15,1.6233697664034408,1.5187461563423605,1.6947894491514772,1.7099873028381325,2.004923884615111,1.5862082355570437,1.6895224913292777
2019-06-16,1.6400573870254065,1.5214254120181625,1.7024435737545205,1.713006366224787,2.040027977252354,1.5933718730387163,1.6971526983925818
2019-06-17,1.675336455125777,1.5722187405718702,1.7559927057862144,1.7668374340815285,2.112629467064156,1.643490251158825,1.7505354242760016
2019-06-18,1.6281909939649601,1.5385655763749708,1.7295849671664776,1.7428338675813109,2.0578444410350314,1.6187744276309997,1.724209756242915
2019-06-19,1.6490324975024457,1.5621594797381688,1.76022777031678,1.7757880110891677,2.100842861676931,1.6474540341323678,1.7547573402175527
2019-06-20,1.6487188817965515,1.585179308036052,1.782402724586945,1.8032875939052777,2.1575309471864994,1.6682083536229915,1.7768634184249485
2019-06-21,1.720238384997054,1.658536706243504,1.8622422239435692,1.8929872348111312,2.2930035812053604,1.7429327823964313,1.8564548551528202
2019-06-22,1.8080161488670463,1.6952832854198578,1.9044314815950676,1.9306188280159144,2.415597949725823,1.7824190460708145,1.8985130362771259
2019-06-23,1.7855953278934669,1.685940728282962,1.8808662727848597,1.9080001086956984,2.45003999182837,1.7603636221953913,1.8750210838086698
2019-06-24,1.796269312638696,1.7000855342770778,1.8909955020638542,1.9195429372137043,2.4849385974791627,1.7698439092745921,1.8851188466098312
2019-06-25,1.804296554924185,1.7024119177708033,1.8972648470071916,1.9293674061875048,2.654971522768223,1.7757115787891113,1.89136869801037
2019-06-26,1.8015175042300486,1.7141425142491393,1.9072331505657762,1.950787621961385,2.9174623518104577,1.7850412054927518,1.9013059985923442
