Date,NW (Gamma=1.0),NW (Gamma=0.0),RL-Net (Defensive),RL-Net (Total Return)
2024-07-11,1.2530733468723154,1.1609849128209544,1.1609849128209544,1.2438179922196562
2024-07-12,1.2746169740677789,1.1758619173095262,1.1758619173095262,1.2637410991914937
2024-07-13,1.3102624580137585,1.1998039173913497,1.1998039173913497,1.298065910967706
2024-07-14,1.3232210297297091,1.2031615846232382,1.2031615846232382,1.3084416796330869
2024-07-15,1.3567890408132266,1.2237159689590207,1.2237159689590207,1.3385449048087201
2024-07-16,1.3646956614588426,1.2214469192667112,1.2214469192667112,1.345310793928052
2024-07-17,1.367380581988899,1.223284529064172,1.223284529064172,1.348957464220641
2024-07-18,1.3455542637346742,1.2204728471581652,1.2204728471581652,1.3269039637570967
2024-07-19,1.3657054162825293,1.2335297165607548,1.2335297165607548,1.347706489082222
2024-07-20,1.3725723902697529,1.2358007764864432,1.2358007764864432,1.3540732915222937
2024-07-21,1.3777335190343263,1.2382150732733794,1.2382150732733794,1.3594405527359787
2024-07-22,1.3612657132236636,1.2270606235439918,1.2270606235439918,1.346718198500477
2024-07-23,1.3509675425926522,1.226952068679826,1.226952068679826,1.3399174700195395
2024-07-24,1.350704639066512,1.2224379761473116,1.2224379761473116,1.3367351904297888
2024-07-25,1.3316294278656677,1.219971215579796,1.219971215579796,1.320834460363691
2024-07-26,1.35052088024954,1.2343321409010881,1.2343321409010881,1.3387547597795049
2024-07-27,1.3480043486513547,1.2306601522016267,1.2306601522016267,1.335352687123088
2024-07-28,1.350902173195099,1.2353484679256796,1.2353484679256796,1.3378095815237327
2024-07-29,1.3566642046252055,1.229768550949242,1.229768550949242,1.3406573405126208
2024-07-30,1.3637871987854413,1.2195536654351296,1.2195536654351296,1.3434975946407923
2024-07-31,1.3528250609890005,1.2012538829472437,1.2012538829472437,1.3309776600733185
2024-08-01,1.3364093151835814,1.1945420097010626,1.1945420097010626,1.3164781670254473
2024-08-02,1.286956680917201,1.159460688136673,1.159460688136673,1.2697969799134246
2024-08-03,1.2687668875720257,1.1586272221773555,1.1586272221773555,1.255399529063059
2024-08-04,1.2231264309800023,1.1393988152604926,1.1393988152604926,1.21506456352433
2024-08-05,1.1747226545356473,1.106876635713778,1.106876635713778,1.1694418794370236
2024-08-06,1.196686009172295,1.1255977301498368,1.1255977301498368,1.1909799322691157
2024-08-07,1.2137134664184184,1.150643629226435,1.150643629226435,1.2103111899508767
2024-08-08,1.2483544195744154,1.1828298049198316,1.1828298049198316,1.2449054699357682
2024-08-09,1.242508181751912,1.1771791168514294,1.1771791168514294,1.2390736846563786
2024-08-10,1.2506704006347524,1.1849142652073326,1.1849142652073326,1.2472160820006943
2024-08-11,1.2315339121875144,1.1668002203535635,1.1668002203535635,1.2281246676168762
2024-08-12,1.239904037565748,1.1746070806583473,1.1746070806583473,1.2364938470601974
2024-08-13,1.2508895343321398,1.1848942062381347,1.1848942062381347,1.247456161465609
2024-08-14,1.2491521561114867,1.1831327111374517,1.1831327111374517,1.2457268470853353
2024-08-15,1.2433619463640435,1.1778180914297707,1.1778180914297707,1.2399485646623585
2024-08-16,1.2544221600386565,1.1874079718017,1.1874079718017,1.2509957118381017
2024-08-17,1.2595641701572233,1.1939774152880807,1.1939774152880807,1.2561293762025056
2024-08-18,1.2533720587467978,1.187851752671227,1.187851752671227,1.2499540325532017
2024-08-19,1.2835365281928717,1.2187210968587932,1.2187210968587932,1.2800011567201879
2024-08-20,1.3304275658494351,1.2642294575875799,1.2642294575875799,1.326691584907137
2024-08-21,1.3177765738302316,1.2511185480409555,1.2511185480409555,1.3141195846485896
2024-08-22,1.3169148395680108,1.2562993561296798,1.2562993561296798,1.3140797216612097
2024-08-23,1.351422229941748,1.2765964083132137,1.2765964083132137,1.3463734288778262
2024-08-24,1.3523606269535893,1.2780707942824219,1.2780707942824219,1.3481597388269102
2024-08-25,1.3380145887343542,1.2845912363973595,1.2845912363973595,1.3337829891055681
2024-08-26,1.314430627365237,1.259198651069211,1.259198651069211,1.3100413163227471
2024-08-27,1.2740886502662523,1.2352131981224856,1.2352131981224856,1.272921617371071
2024-08-28,1.277515120624061,1.234508188970441,1.234508188970441,1.2749532152220981
2024-08-29,1.2759819214047987,1.237814141020254,1.237814141020254,1.2744936206731203
2024-08-30,1.2807248941433391,1.2409142270279598,1.2409142270279598,1.2789517593874806
2024-08-31,1.2773160419238776,1.2345667718499302,1.2345667718499302,1.2748348768461788
2024-09-01,1.2511163501658256,1.2168402297473027,1.2168402297473027,1.2504258404974327
2024-09-02,1.2758752152354962,1.227069649990475,1.227069649990475,1.2718039685933051
2024-09-03,1.256404398563337,1.2128541882470234,1.2128541882470234,1.2535345080786273
2024-09-04,1.2609341004529149,1.2134949612216293,1.2134949612216293,1.2571587559542086
2024-09-05,1.2555523279597098,1.2082577747155816,1.2082577747155816,1.2517749901017823
2024-09-06,1.2363585601959477,1.1897645614473762,1.1897645614473762,1.2326043953472114
2024-09-07,1.2448912573518034,1.1980088779199403,1.1980088779199403,1.241083710739572
2024-09-08,1.2511931308462254,1.204078204487525,1.204078204487525,1.24736055890747
2024-09-09,1.2654304830237286,1.2177155663966661,1.2177155663966661,1.2615762972498559
2024-09-10,1.2647153336775767,1.2170108034063316,1.2170108034063316,1.2608795680775033
2024-09-11,1.2648671778733918,1.217045970136954,1.217045970136954,1.2610382347204891
2024-09-12,1.281420768175544,1.2330406894750814,1.2330406894750814,1.2774811371691979
2024-09-13,1.2984886534749989,1.2529197526525455,1.2529197526525455,1.2943400852364717
2024-09-14,1.2978591360691736,1.251181801441611,1.251181801441611,1.2938347355354538
2024-09-15,1.2688455318696907,1.2242462351086147,1.2242462351086147,1.2652094126741487
2024-09-16,1.2583893519542244,1.2130863122648963,1.2130863122648963,1.25490157399102
2024-09-17,1.2708609745052837,1.2282520232993994,1.2282520232993994,1.2672338087360528
2024-09-18,1.2872515876604897,1.2452316134307475,1.2452316134307475,1.2834026071108284
2024-09-19,1.3089463388121212,1.2679863016198838,1.2679863016198838,1.3048123507090534
2024-09-20,1.314140733377745,1.2741754150092517,1.2741754150092517,1.3099826683374225
2024-09-21,1.338549582929673,1.296646547352591,1.296646547352591,1.3341516852033057
2024-09-22,1.330294915695579,1.2897380856467384,1.2897380856467384,1.3260151562698321
2024-09-23,1.3353505843054798,1.2940630072643358,1.2940630072643358,1.33101808346432
2024-09-24,1.3399789600103973,1.300421873619087,1.300421873619087,1.3355572523666233
2024-09-25,1.3247836633388574,1.283930137391712,1.283930137391712,1.320446467015485
2024-09-26,1.3511997872733976,1.3095902730622047,1.3095902730622047,1.346628945999046
2024-09-27,1.3692105141106663,1.3284409169066693,1.3284409169066693,1.3645019047491727
2024-09-28,1.3670385290435865,1.3256290644722493,1.3256290644722493,1.3624027063233997
